253	45
253	66
253	81
253	93
253	102
253	109
253	114
251	119
248	124
244	128
239	131
224	132
211	132
193	131
177	131
163	131
151	131
140	131
130	131
120	131
106	131
89	131
77	131
61	131
48	131
35	131
24	131
18	133
16	137
16	142
19	146
24	148
40	148
55	148
72	148
85	148
98	148
113	148
127	148
136	148
149	148
161	148
171	148
180	148
196	149
210	149
225	149
236	149
250	149
266	149
285	149
300	149
313	149
326	149
338	149
351	149
364	149
380	149
391	149
402	149
418	149
432	149
444	149
454	149
468	149
481	149
489	150
494	155
494	162
489	166
479	166
460	166
439	166
421	166
401	166
386	166
364	166
339	166
324	166
311	166
296	166
283	166
265	166
249	166
235	166
223	166
214	165
198	165
183	165
169	165
158	165
147	165
136	165
126	165
111	165
99	165
88	165
78	165
66	165
54	165
42	165
31	165
22	165
19	166
16	170
16	175
18	179
23	181
32	181
44	181
59	181
69	181
83	182
96	182
109	182
126	182
141	182
150	182
162	182
174	182
192	182
210	183
226	183
238	183
251	183
263	183
278	183
293	183
305	183
316	183
328	183
344	183
359	183
371	183
382	183
393	183
404	183
417	183
427	183
442	183
456	183
466	183
476	183
484	183
490	184
494	188
494	194
491	200
482	201
469	201
458	201
445	201
430	200
422	200
409	200
395	200
380	200
368	200
357	200
347	200
336	200
322	200
310	200
298	200
287	200
275	200
262	200
248	200
233	200
218	200
201	199
181	199
166	199
151	199
136	199
124	199
103	199
90	199
78	199
60	199
47	198
37	198
